GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java_e_commerce,com.cosmocats.api.dto.validation,CosmicWordValidator,21,0,8,0,2,0,6,0,2,0
java_e_commerce,com.cosmocats.api.web.mapper,OrderMapper,5,0,0,0,1,0,1,0,1,0
java_e_commerce,com.cosmocats.api.web.mapper,OrderMapperImpl,191,0,16,0,49,0,15,0,7,0
java_e_commerce,com.cosmocats.api.web.mapper,ProductMapperImpl,153,0,12,0,41,0,12,0,6,0
java_e_commerce,com.cosmocats.api.web.mapper,CategoryMapper,5,0,0,0,1,0,1,0,1,0
java_e_commerce,com.cosmocats.api.web.mapper,CategoryMapperImpl,51,0,4,0,15,0,5,0,3,0
java_e_commerce,com.cosmocats.api.exception,GlobalExceptionHandler,107,0,4,0,21,0,5,0,3,0
java_e_commerce,com.cosmocats.api.domain,Category,12,0,0,0,5,0,1,0,1,0
java_e_commerce,com.cosmocats.api.service,ProductServiceImpl,132,0,6,0,30,0,9,0,6,0
java_e_commerce,com.cosmocats.api.web,ProductController,26,0,0,0,7,0,5,0,5,0
